Key,incident_nb,DateTime_Out
Caserne 03 Grid0_1,2,2020-08-01
Caserne 03 Grid0_1,5,2020-09-01
Caserne 03 Grid0_1,3,2020-10-01
Caserne 03 Grid0_1,2,2020-11-01
Caserne 03 Grid0_1,1,2020-12-01
Caserne 03 Grid0_1,3,2021-01-01
Caserne 03 Grid0_1,3,2021-02-01
Caserne 03 Grid0_1,3,2021-03-01
Caserne 03 Grid0_1,3,2021-04-01
Caserne 03 Grid0_1,4,2021-05-01
Caserne 03 Grid0_1,6,2021-06-01
Caserne 03 Grid0_1,5,2021-07-01
Caserne 03 Grid0_1,6,2021-08-01
Caserne 03 Grid0_1,4,2021-09-01
Caserne 03 Grid0_1,4,2021-10-01
Caserne 03 Grid0_1,3,2021-11-01
Caserne 03 Grid0_1,8,2021-12-01
Caserne 03 Grid0_1,4,2022-02-01
Caserne 03 Grid0_1,6,2022-03-01
Caserne 03 Grid0_1,3,2022-04-01
Caserne 03 Grid0_1,3,2022-05-01
Caserne 03 Grid1_0,4,2015-01-01
Caserne 03 Grid1_0,6,2015-02-01
Caserne 03 Grid1_0,6,2015-03-01
Caserne 03 Grid1_0,7,2015-04-01
Caserne 03 Grid1_0,14,2015-05-01
Caserne 03 Grid1_0,6,2015-06-01
Caserne 03 Grid1_0,6,2015-07-01
Caserne 03 Grid1_0,7,2015-08-01
Caserne 03 Grid1_0,5,2015-09-01
Caserne 03 Grid1_0,5,2015-10-01
Caserne 03 Grid1_0,6,2015-11-01
Caserne 03 Grid1_0,5,2015-12-01
Caserne 03 Grid1_0,2,2016-01-01
Caserne 03 Grid1_0,9,2016-02-01
Caserne 03 Grid1_0,4,2016-03-01
Caserne 03 Grid1_0,10,2016-04-01
Caserne 03 Grid1_0,5,2016-05-01
Caserne 03 Grid1_0,8,2016-06-01
Caserne 03 Grid1_0,13,2016-07-01
Caserne 03 Grid1_0,6,2016-08-01
Caserne 03 Grid1_0,8,2016-09-01
Caserne 03 Grid1_0,1,2016-10-01
Caserne 03 Grid1_0,10,2016-11-01
Caserne 03 Grid1_0,3,2016-12-01
Caserne 03 Grid1_0,7,2017-01-01
Caserne 03 Grid1_0,5,2017-02-01
Caserne 03 Grid1_0,5,2017-03-01
Caserne 03 Grid1_0,6,2017-04-01
Caserne 03 Grid1_0,9,2017-05-01
Caserne 03 Grid1_0,10,2017-06-01
Caserne 03 Grid1_0,3,2017-07-01
Caserne 03 Grid1_0,4,2017-08-01
Caserne 03 Grid1_0,6,2017-09-01
Caserne 03 Grid1_0,10,2017-10-01
Caserne 03 Grid1_0,2,2017-11-01
Caserne 03 Grid1_0,13,2017-12-01
Caserne 03 Grid1_0,10,2018-01-01
Caserne 03 Grid1_0,8,2018-02-01
Caserne 03 Grid1_0,2,2018-03-01
Caserne 03 Grid1_0,9,2018-04-01
Caserne 03 Grid1_0,6,2018-05-01
Caserne 03 Grid1_0,12,2018-06-01
Caserne 03 Grid1_0,18,2018-07-01
Caserne 03 Grid1_0,7,2018-08-01
Caserne 03 Grid1_0,15,2018-09-01
Caserne 03 Grid1_0,11,2018-10-01
Caserne 03 Grid1_0,7,2018-11-01
Caserne 03 Grid1_0,9,2018-12-01
Caserne 03 Grid1_0,14,2019-01-01
Caserne 03 Grid1_0,6,2019-02-01
Caserne 03 Grid1_0,13,2019-03-01
Caserne 03 Grid1_0,2,2019-04-01
Caserne 03 Grid1_0,11,2019-05-01
Caserne 03 Grid1_0,13,2019-06-01
Caserne 03 Grid1_0,8,2019-07-01
Caserne 03 Grid1_0,14,2019-08-01
Caserne 03 Grid1_0,9,2019-09-01
Caserne 03 Grid1_0,9,2019-10-01
Caserne 03 Grid1_0,5,2019-11-01
Caserne 03 Grid1_0,9,2019-12-01
Caserne 03 Grid1_0,11,2020-01-01
Caserne 03 Grid1_0,1,2020-02-01
Caserne 03 Grid1_0,4,2020-03-01
Caserne 03 Grid1_0,1,2020-04-01
Caserne 03 Grid1_0,9,2020-05-01
Caserne 03 Grid1_0,4,2020-06-01
Caserne 03 Grid1_0,13,2020-07-01
Caserne 03 Grid1_0,11,2020-08-01
Caserne 03 Grid1_0,12,2020-09-01
Caserne 03 Grid1_0,5,2020-10-01
Caserne 03 Grid1_0,2,2020-11-01
Caserne 03 Grid1_0,3,2020-12-01
Caserne 03 Grid1_0,6,2021-01-01
Caserne 03 Grid1_0,8,2021-02-01
Caserne 03 Grid1_0,6,2021-03-01
Caserne 03 Grid1_0,5,2021-04-01
Caserne 03 Grid1_0,15,2021-05-01
Caserne 03 Grid1_0,16,2021-06-01
Caserne 03 Grid1_0,12,2021-07-01
Caserne 03 Grid1_0,16,2021-08-01
Caserne 03 Grid1_0,10,2021-09-01
Caserne 03 Grid1_0,8,2021-10-01
Caserne 03 Grid1_0,6,2021-11-01
Caserne 03 Grid1_0,5,2021-12-01
Caserne 03 Grid1_0,13,2022-01-01
Caserne 03 Grid1_0,15,2022-02-01
Caserne 03 Grid1_0,8,2022-03-01
Caserne 03 Grid1_0,9,2022-04-01
Caserne 03 Grid1_0,10,2022-05-01
Caserne 03 Grid1_0,8,2022-06-01
Caserne 03 Grid1_1,1,2015-02-01
Caserne 03 Grid1_1,1,2015-08-01
Caserne 03 Grid1_1,1,2016-03-01
Caserne 03 Grid1_1,2,2016-05-01
Caserne 03 Grid1_1,1,2017-04-01
Caserne 03 Grid1_1,1,2017-11-01
Caserne 03 Grid1_1,1,2017-12-01
Caserne 03 Grid1_1,1,2018-05-01
Caserne 03 Grid1_1,1,2018-07-01
Caserne 03 Grid1_1,2,2019-06-01
Caserne 03 Grid1_1,1,2019-08-01
Caserne 03 Grid1_1,1,2019-09-01
Caserne 03 Grid1_1,1,2019-10-01
Caserne 03 Grid1_1,1,2019-11-01
Caserne 03 Grid1_1,4,2020-01-01
Caserne 03 Grid1_1,1,2020-03-01
Caserne 03 Grid1_1,1,2020-04-01
Caserne 03 Grid1_1,1,2020-06-01
Caserne 03 Grid1_1,2,2020-08-01
Caserne 03 Grid1_1,1,2020-10-01
Caserne 03 Grid1_1,1,2020-11-01
Caserne 03 Grid1_1,1,2021-01-01
Caserne 03 Grid1_1,1,2021-06-01
Caserne 03 Grid1_1,1,2021-08-01
Caserne 03 Grid1_1,1,2021-10-01
Caserne 03 Grid1_1,2,2021-12-01
Caserne 03 Grid1_1,2,2022-04-01
Caserne 04 Grid0_1,2,2016-07-01
Caserne 04 Grid0_1,1,2016-10-01
Caserne 04 Grid0_1,1,2016-11-01
Caserne 04 Grid0_1,2,2017-01-01
Caserne 04 Grid0_1,1,2017-07-01
Caserne 04 Grid0_1,1,2018-07-01
Caserne 04 Grid0_1,2,2019-01-01
Caserne 04 Grid0_1,1,2019-05-01
Caserne 04 Grid0_1,1,2019-09-01
Caserne 04 Grid0_1,1,2019-11-01
Caserne 04 Grid0_1,1,2021-02-01
Caserne 04 Grid0_1,1,2021-03-01
Caserne 04 Grid0_1,2,2021-04-01
Caserne 04 Grid0_1,1,2021-05-01
Caserne 04 Grid0_1,1,2021-10-01
Caserne 04 Grid0_1,1,2022-04-01
Caserne 04 Grid0_1,1,2022-06-01
Caserne 04 Grid0_2,1,2018-08-01
Caserne 04 Grid0_2,1,2021-06-01
Caserne 04 Grid1_0,3,2015-01-01
Caserne 04 Grid1_0,2,2015-02-01
Caserne 04 Grid1_0,4,2015-03-01
Caserne 04 Grid1_0,4,2015-04-01
Caserne 04 Grid1_0,5,2015-05-01
Caserne 04 Grid1_0,1,2015-06-01
Caserne 04 Grid1_0,3,2015-07-01
Caserne 04 Grid1_0,4,2015-08-01
Caserne 04 Grid1_0,5,2015-09-01
Caserne 04 Grid1_0,2,2015-10-01
Caserne 04 Grid1_0,5,2015-11-01
Caserne 04 Grid1_0,4,2015-12-01
Caserne 04 Grid1_0,5,2016-01-01
Caserne 04 Grid1_0,5,2016-02-01
Caserne 04 Grid1_0,5,2016-03-01
Caserne 04 Grid1_0,4,2016-04-01
Caserne 04 Grid1_0,5,2016-05-01
Caserne 04 Grid1_0,3,2016-06-01
Caserne 04 Grid1_0,4,2016-07-01
Caserne 04 Grid1_0,6,2016-08-01
Caserne 04 Grid1_0,3,2016-09-01
Caserne 04 Grid1_0,4,2016-10-01
Caserne 04 Grid1_0,2,2016-11-01
Caserne 04 Grid1_0,1,2016-12-01
Caserne 04 Grid1_0,5,2017-01-01
Caserne 04 Grid1_0,5,2017-02-01
Caserne 04 Grid1_0,6,2017-03-01
Caserne 04 Grid1_0,4,2017-04-01
Caserne 04 Grid1_0,5,2017-05-01
Caserne 04 Grid1_0,4,2017-06-01
Caserne 04 Grid1_0,3,2017-07-01
Caserne 04 Grid1_0,6,2017-08-01
Caserne 04 Grid1_0,2,2017-09-01
Caserne 04 Grid1_0,5,2017-10-01
Caserne 04 Grid1_0,1,2017-11-01
Caserne 04 Grid1_0,5,2017-12-01
Caserne 04 Grid1_0,1,2018-01-01
Caserne 04 Grid1_0,2,2018-02-01
Caserne 04 Grid1_0,4,2018-03-01
Caserne 04 Grid1_0,3,2018-04-01
Caserne 04 Grid1_0,8,2018-05-01
Caserne 04 Grid1_0,4,2018-06-01
Caserne 04 Grid1_0,3,2018-07-01
Caserne 04 Grid1_0,8,2018-08-01
Caserne 04 Grid1_0,3,2018-09-01
Caserne 04 Grid1_0,2,2018-10-01
Caserne 04 Grid1_0,1,2018-11-01
Caserne 04 Grid1_0,5,2018-12-01
Caserne 04 Grid1_0,9,2019-01-01
Caserne 04 Grid1_0,7,2019-02-01
Caserne 04 Grid1_0,4,2019-03-01
Caserne 04 Grid1_0,3,2019-04-01
Caserne 04 Grid1_0,2,2019-05-01
Caserne 04 Grid1_0,4,2019-06-01
Caserne 04 Grid1_0,3,2019-07-01
Caserne 04 Grid1_0,4,2019-08-01
Caserne 04 Grid1_0,7,2019-09-01
Caserne 04 Grid1_0,3,2019-10-01
Caserne 04 Grid1_0,2,2019-11-01
Caserne 04 Grid1_0,4,2019-12-01
Caserne 04 Grid1_0,2,2020-01-01
Caserne 04 Grid1_0,4,2020-02-01
Caserne 04 Grid1_0,4,2020-03-01
Caserne 04 Grid1_0,4,2020-04-01
Caserne 04 Grid1_0,8,2020-05-01
Caserne 04 Grid1_0,7,2020-06-01
Caserne 04 Grid1_0,3,2020-07-01
Caserne 04 Grid1_0,2,2020-08-01
Caserne 04 Grid1_0,3,2020-09-01
Caserne 04 Grid1_0,2,2020-10-01
Caserne 04 Grid1_0,4,2020-11-01
Caserne 04 Grid1_0,3,2021-01-01
Caserne 04 Grid1_0,1,2021-02-01
Caserne 04 Grid1_0,4,2021-03-01
Caserne 04 Grid1_0,2,2021-04-01
Caserne 04 Grid1_0,5,2021-05-01
Caserne 04 Grid1_0,4,2021-06-01
Caserne 04 Grid1_0,5,2021-07-01
Caserne 04 Grid1_0,3,2021-08-01
Caserne 04 Grid1_0,9,2021-09-01
Caserne 04 Grid1_0,1,2021-10-01
Caserne 04 Grid1_0,5,2021-11-01
Caserne 04 Grid1_0,5,2021-12-01
Caserne 04 Grid1_0,2,2022-01-01
Caserne 04 Grid1_0,5,2022-02-01
Caserne 04 Grid1_0,3,2022-03-01
Caserne 04 Grid1_0,2,2022-04-01
Caserne 04 Grid1_0,3,2022-05-01
Caserne 04 Grid1_0,1,2022-06-01
Caserne 04 Grid1_1,1,2015-04-01
Caserne 04 Grid1_1,1,2015-05-01
Caserne 04 Grid1_1,1,2015-10-01
Caserne 04 Grid1_1,2,2015-12-01
Caserne 04 Grid1_1,1,2016-02-01
Caserne 04 Grid1_1,1,2016-04-01
Caserne 04 Grid1_1,3,2016-06-01
Caserne 04 Grid1_1,3,2016-08-01
Caserne 04 Grid1_1,1,2016-10-01
Caserne 04 Grid1_1,2,2016-11-01
Caserne 04 Grid1_1,1,2017-01-01
Caserne 04 Grid1_1,3,2017-02-01
Caserne 04 Grid1_1,3,2017-05-01
Caserne 04 Grid1_1,2,2017-06-01
Caserne 04 Grid1_1,1,2017-07-01
Caserne 04 Grid1_1,1,2017-08-01
Caserne 04 Grid1_1,1,2017-09-01
Caserne 04 Grid1_1,1,2018-02-01
Caserne 04 Grid1_1,2,2018-03-01
Caserne 04 Grid1_1,2,2018-04-01
Caserne 04 Grid1_1,2,2018-05-01
Caserne 04 Grid1_1,3,2018-06-01
Caserne 04 Grid1_1,1,2018-07-01
Caserne 04 Grid1_1,2,2018-08-01
Caserne 04 Grid1_1,1,2018-09-01
Caserne 04 Grid1_1,1,2018-10-01
Caserne 04 Grid1_1,3,2018-11-01
Caserne 04 Grid1_1,1,2018-12-01
Caserne 04 Grid1_1,1,2019-02-01
Caserne 04 Grid1_1,1,2019-04-01
Caserne 04 Grid1_1,3,2019-05-01
Caserne 04 Grid1_1,3,2019-06-01
Caserne 04 Grid1_1,1,2019-07-01
Caserne 04 Grid1_1,1,2019-08-01
Caserne 04 Grid1_1,1,2019-09-01
Caserne 04 Grid1_1,2,2019-10-01
Caserne 04 Grid1_1,3,2019-12-01
Caserne 04 Grid1_1,1,2020-01-01
Caserne 04 Grid1_1,1,2020-04-01
Caserne 04 Grid1_1,2,2020-05-01
Caserne 04 Grid1_1,1,2020-06-01
Caserne 04 Grid1_1,2,2020-08-01
Caserne 04 Grid1_1,1,2020-09-01
Caserne 04 Grid1_1,1,2020-11-01
Caserne 04 Grid1_1,1,2021-03-01
Caserne 04 Grid1_1,1,2021-04-01
Caserne 04 Grid1_1,1,2021-08-01
Caserne 04 Grid1_1,1,2021-10-01
Caserne 04 Grid1_1,2,2021-11-01
Caserne 04 Grid1_1,1,2021-12-01
Caserne 04 Grid1_1,1,2022-01-01
Caserne 04 Grid1_1,3,2022-02-01
Caserne 04 Grid1_1,2,2022-03-01
Caserne 04 Grid1_1,3,2022-05-01
Caserne 04 Grid1_2,1,2021-06-01
Caserne 04 Grid2_0,4,2015-01-01
Caserne 04 Grid2_0,6,2015-02-01
Caserne 04 Grid2_0,6,2015-03-01
Caserne 04 Grid2_0,12,2015-04-01
Caserne 04 Grid2_0,5,2015-05-01
Caserne 04 Grid2_0,5,2015-06-01
Caserne 04 Grid2_0,9,2015-07-01
Caserne 04 Grid2_0,8,2015-08-01
Caserne 04 Grid2_0,4,2015-09-01
Caserne 04 Grid2_0,3,2015-10-01
Caserne 04 Grid2_0,1,2015-11-01
Caserne 04 Grid2_0,4,2015-12-01
Caserne 04 Grid2_0,7,2016-01-01
Caserne 04 Grid2_0,8,2016-02-01
Caserne 04 Grid2_0,3,2016-03-01
Caserne 04 Grid2_0,5,2016-04-01
Caserne 04 Grid2_0,3,2016-05-01
Caserne 04 Grid2_0,6,2016-06-01
Caserne 04 Grid2_0,5,2016-07-01
Caserne 04 Grid2_0,6,2016-08-01
Caserne 04 Grid2_0,10,2016-09-01
Caserne 04 Grid2_0,2,2016-10-01
Caserne 04 Grid2_0,6,2016-11-01
Caserne 04 Grid2_0,2,2016-12-01
Caserne 04 Grid2_0,4,2017-01-01
Caserne 04 Grid2_0,3,2017-02-01
Caserne 04 Grid2_0,4,2017-03-01
Caserne 04 Grid2_0,5,2017-04-01
Caserne 04 Grid2_0,2,2017-05-01
Caserne 04 Grid2_0,4,2017-06-01
Caserne 04 Grid2_0,6,2017-07-01
Caserne 04 Grid2_0,8,2017-08-01
Caserne 04 Grid2_0,4,2017-09-01
Caserne 04 Grid2_0,4,2017-10-01
Caserne 04 Grid2_0,6,2017-11-01
Caserne 04 Grid2_0,15,2017-12-01
Caserne 04 Grid2_0,13,2018-01-01
Caserne 04 Grid2_0,2,2018-02-01
Caserne 04 Grid2_0,3,2018-03-01
Caserne 04 Grid2_0,5,2018-04-01
Caserne 04 Grid2_0,9,2018-05-01
Caserne 04 Grid2_0,10,2018-06-01
Caserne 04 Grid2_0,5,2018-07-01
Caserne 04 Grid2_0,6,2018-08-01
Caserne 04 Grid2_0,13,2018-09-01
Caserne 04 Grid2_0,4,2018-10-01
Caserne 04 Grid2_0,6,2018-11-01
Caserne 04 Grid2_0,6,2018-12-01
Caserne 04 Grid2_0,1,2019-01-01
Caserne 04 Grid2_0,2,2019-02-01
Caserne 04 Grid2_0,6,2019-03-01
Caserne 04 Grid2_0,3,2019-04-01
Caserne 04 Grid2_0,7,2019-05-01
Caserne 04 Grid2_0,10,2019-06-01
Caserne 04 Grid2_0,6,2019-07-01
Caserne 04 Grid2_0,6,2019-08-01
Caserne 04 Grid2_0,7,2019-09-01
Caserne 04 Grid2_0,4,2019-10-01
Caserne 04 Grid2_0,5,2019-11-01
Caserne 04 Grid2_0,4,2019-12-01
Caserne 04 Grid2_0,6,2020-01-01
Caserne 04 Grid2_0,1,2020-02-01
Caserne 04 Grid2_0,4,2020-03-01
Caserne 04 Grid2_0,1,2020-04-01
Caserne 04 Grid2_0,3,2020-05-01
Caserne 04 Grid2_0,10,2020-06-01
Caserne 04 Grid2_0,7,2020-07-01
Caserne 04 Grid2_0,1,2020-08-01
Caserne 04 Grid2_0,2,2020-09-01
Caserne 04 Grid2_0,7,2020-10-01
Caserne 04 Grid2_0,3,2020-11-01
Caserne 04 Grid2_0,4,2020-12-01
Caserne 04 Grid2_0,3,2021-01-01
Caserne 04 Grid2_0,4,2021-02-01
Caserne 04 Grid2_0,3,2021-03-01
Caserne 04 Grid2_0,6,2021-04-01
Caserne 04 Grid2_0,3,2021-05-01
Caserne 04 Grid2_0,2,2021-06-01
Caserne 04 Grid2_0,4,2021-07-01
Caserne 04 Grid2_0,2,2021-08-01
Caserne 04 Grid2_0,4,2021-09-01
Caserne 04 Grid2_0,5,2021-10-01
Caserne 04 Grid2_0,8,2021-11-01
Caserne 04 Grid2_0,8,2021-12-01
Caserne 04 Grid2_0,7,2022-01-01
Caserne 04 Grid2_0,3,2022-02-01
Caserne 04 Grid2_0,7,2022-03-01
Caserne 04 Grid2_0,3,2022-04-01
Caserne 04 Grid2_0,5,2022-05-01
Caserne 04 Grid2_0,3,2022-06-01
Caserne 04 Grid2_1,7,2015-01-01
Caserne 04 Grid2_1,6,2015-02-01
Caserne 04 Grid2_1,3,2015-03-01
Caserne 04 Grid2_1,6,2015-04-01
Caserne 04 Grid2_1,2,2015-05-01
Caserne 04 Grid2_1,4,2015-06-01
Caserne 04 Grid2_1,10,2015-07-01
Caserne 04 Grid2_1,8,2015-08-01
Caserne 04 Grid2_1,9,2015-09-01
Caserne 04 Grid2_1,6,2015-10-01
Caserne 04 Grid2_1,7,2015-11-01
Caserne 04 Grid2_1,3,2015-12-01
Caserne 04 Grid2_1,4,2016-01-01
Caserne 04 Grid2_1,4,2016-02-01
Caserne 04 Grid2_1,8,2016-03-01
Caserne 04 Grid2_1,1,2016-04-01
Caserne 04 Grid2_1,14,2016-05-01
Caserne 04 Grid2_1,2,2016-06-01
Caserne 04 Grid2_1,5,2016-07-01
Caserne 04 Grid2_1,8,2016-08-01
Caserne 04 Grid2_1,4,2016-09-01
Caserne 04 Grid2_1,3,2016-10-01
Caserne 04 Grid2_1,5,2016-11-01
Caserne 04 Grid2_1,1,2016-12-01
Caserne 04 Grid2_1,3,2017-01-01
Caserne 04 Grid2_1,5,2017-02-01
Caserne 04 Grid2_1,3,2017-03-01
Caserne 04 Grid2_1,8,2017-04-01
Caserne 04 Grid2_1,6,2017-05-01
Caserne 04 Grid2_1,10,2017-06-01
Caserne 04 Grid2_1,6,2017-07-01
Caserne 04 Grid2_1,6,2017-08-01
Caserne 04 Grid2_1,6,2017-09-01
Caserne 04 Grid2_1,7,2017-10-01
Caserne 04 Grid2_1,4,2017-11-01
Caserne 04 Grid2_1,5,2017-12-01
Caserne 04 Grid2_1,2,2018-01-01
Caserne 04 Grid2_1,1,2018-02-01
Caserne 04 Grid2_1,2,2018-03-01
Caserne 04 Grid2_1,8,2018-04-01
Caserne 04 Grid2_1,13,2018-05-01
Caserne 04 Grid2_1,7,2018-06-01
Caserne 04 Grid2_1,6,2018-07-01
Caserne 04 Grid2_1,6,2018-08-01
Caserne 04 Grid2_1,5,2018-09-01
Caserne 04 Grid2_1,8,2018-10-01
Caserne 04 Grid2_1,6,2018-11-01
Caserne 04 Grid2_1,7,2018-12-01
Caserne 04 Grid2_1,8,2019-01-01
Caserne 04 Grid2_1,4,2019-02-01
Caserne 04 Grid2_1,13,2019-03-01
Caserne 04 Grid2_1,3,2019-04-01
Caserne 04 Grid2_1,4,2019-05-01
Caserne 04 Grid2_1,3,2019-06-01
Caserne 04 Grid2_1,7,2019-07-01
Caserne 04 Grid2_1,2,2019-08-01
Caserne 04 Grid2_1,6,2019-09-01
Caserne 04 Grid2_1,9,2019-10-01
Caserne 04 Grid2_1,9,2019-11-01
Caserne 04 Grid2_1,3,2019-12-01
Caserne 04 Grid2_1,6,2020-01-01
Caserne 04 Grid2_1,6,2020-02-01
Caserne 04 Grid2_1,4,2020-03-01
Caserne 04 Grid2_1,4,2020-04-01
Caserne 04 Grid2_1,4,2020-05-01
